state,abbreviation,area (sq. mi),date,dataQualityGrade,death,hospitalized,positive,negative,recovered,totalTestResults
Alabama,AL,52423,12/18/20,A,4296.0,30224.0,315683.0,1507204.0,183625.0,1764750.0
Alabama,AL,52423,12/17/20,A,4254.0,29559.0,310335.0,1499349.0,183625.0,1752713.0
Alabama,AL,52423,12/16/20,A,4198.0,29559.0,305640.0,1491279.0,183625.0,1741128.0
Alabama,AL,52423,12/15/20,A,4124.0,29259.0,301533.0,1485182.0,174805.0,1732185.0
Alabama,AL,52423,12/14/20,A,4102.0,28913.0,297895.0,1478907.0,174805.0,1723669.0
Alabama,AL,52423,12/13/20,A,4102.0,28146.0,295631.0,1458560.0,174805.0,1696439.0
Alabama,AL,52423,12/12/20,A,4102.0,28146.0,292841.0,1458560.0,174805.0,1696439.0
Alabama,AL,52423,12/11/20,A,4086.0,28146.0,288775.0,1458560.0,174805.0,1696439.0
Alabama,AL,52423,12/10/20,A,4034.0,27618.0,284922.0,1449370.0,174805.0,1684362.0
Alabama,AL,52423,12/9/20,A,3985.0,27618.0,280187.0,1441625.0,174805.0,1673164.0
Alabama,AL,52423,12/8/20,A,3942.0,27323.0,276665.0,1435083.0,168387.0,1664090.0
Alabama,AL,52423,12/7/20,A,3892.0,27044.0,272229.0,1425784.0,168387.0,1651573.0
Alabama,AL,52423,12/6/20,A,3889.0,26331.0,269877.0,1421126.0,168387.0,1645041.0
Alabama,AL,52423,12/5/20,A,3877.0,26331.0,267589.0,1415357.0,168387.0,1637161.0
Alabama,AL,52423,12/4/20,A,3831.0,26331.0,264199.0,1407299.0,168387.0,1626368.0
Alabama,AL,52423,12/3/20,A,3776.0,26062.0,260359.0,1400010.0,168387.0,1615948.0
Alabama,AL,52423,12/2/20,A,3711.0,25821.0,256828.0,1390351.0,168387.0,1603523.0
Alabama,AL,52423,12/1/20,A,3638.0,25610.0,252900.0,1383805.0,161946.0,1593842.0
Alabama,AL,52423,11/30/20,A,3578.0,25338.0,249524.0,1376324.0,161946.0,1584347.0
Alabama,AL,52423,11/29/20,A,3577.0,24670.0,247229.0,1373770.0,161946.0,1579713.0
Alabama,AL,52423,11/28/20,A,3572.0,24670.0,244993.0,1369792.0,161946.0,1573902.0
Alabama,AL,52423,11/27/20,A,3572.0,24451.0,242874.0,1365240.0,161946.0,1567713.0
Alabama,AL,52423,11/26/20,A,3572.0,24401.0,241957.0,1361187.0,161946.0,1562942.0
